recordtime	accelerationX	accelerationY	accelerationZ
353	-0.03398132	-0.01809692	-1.008545
354	-0.03392029	-0.01750183	-1.006287
355	-0.03457642	-0.01681519	-1.008118
356	-0.0345459	-0.01739502	-1.008453
357	-0.0332489	-0.01686096	-1.00914
358	-0.03257751	-0.01809692	-1.007812
359	-0.03475952	-0.01916504	-1.008591
360	-0.03469849	-0.01922607	-1.007263
361	-0.03451538	-0.01869202	-1.009018
362	-0.03346252	-0.01849365	-1.009354
363	-0.03503418	-0.01585388	-1.008072
364	-0.03344727	-0.01895142	-1.007996
365	-0.03515625	-0.02085876	-1.006989
366	-0.03266907	-0.01847839	-1.007507
367	-0.03619385	-0.01925659	-1.007553
368	-0.03445435	-0.01831055	-1.008286
369	-0.03469849	-0.01760864	-1.007187
370	-0.03240967	-0.01713562	-1.007782
371	-0.03526306	-0.01664734	-1.007263
372	-0.03311157	-0.01782227	-1.009262
373	-0.03436279	-0.01850891	-1.008621
374	-0.0350647	-0.01834106	-1.008606
375	-0.03436279	-0.01847839	-1.008972
376	-0.0348053	-0.01759338	-1.006165
377	-0.03363037	-0.01823425	-1.006165
378	-0.03271484	-0.01904297	-1.005951
379	-0.03543091	-0.01803589	-1.010818
380	-0.03411865	-0.01785278	-1.010162
381	-0.03500366	-0.01948547	-1.007217
382	-0.03340149	-0.01795959	-1.008606
383	-0.03507996	-0.0174408	-1.006668
384	-0.03416443	-0.0209198	-1.007156
385	-0.03372192	-0.01808167	-1.007736
386	-0.03527832	-0.01905823	-1.006363
387	-0.03266907	-0.01773071	-1.006622
388	-0.03503418	-0.01889038	-1.007828
389	-0.03544617	-0.01893616	-1.00824
390	-0.03189087	-0.01806641	-1.008347
391	-0.03437805	-0.01721191	-1.008621
392	-0.03523254	-0.01869202	-1.004822
393	-0.03543091	-0.01867676	-1.007431
394	-0.03131104	-0.0193634	-1.009613
395	-0.03605652	-0.01766968	-1.009506
396	-0.0349884	-0.01763916	-1.00679
397	-0.0335083	-0.01789856	-1.006577
398	-0.03369141	-0.019104	-1.007858
399	-0.03309631	-0.01945496	-1.008438
400	-0.03419495	-0.01855469	-1.008026
401	-0.0350647	-0.01808167	-1.005783
402	-0.03691101	-0.01802063	-1.007538
403	-0.03521729	-0.01751709	-1.009857
404	-0.03526306	-0.01902771	-1.008636
405	-0.03440857	-0.01748657	-1.009262
406	-0.03666687	-0.01689148	-1.007004
407	-0.03385925	-0.01591492	-1.009628
408	-0.03341675	-0.01901245	-1.015152
409	-0.03422546	-0.01759338	-1.014969
410	-0.03425598	-0.01663208	-1.013977
411	-0.03385925	-0.01786804	-1.012405
412	-0.03260803	-0.01649475	-1.010696
413	-0.03225708	-0.01802063	-1.011642
414	-0.0322876	-0.01724243	-1.009247
415	-0.03358459	-0.01756287	-1.007416
416	-0.03462219	-0.01768494	-1.009018
417	-0.03364563	-0.01722717	-1.00618
418	-0.03479004	-0.01873779	-1.008423
419	-0.0340271	-0.01805115	-1.007996
420	-0.03269958	-0.01899719	-1.007889
421	-0.03440857	-0.01625061	-1.006821
422	-0.03364563	-0.01914978	-1.009018
423	-0.03494263	-0.02029419	-1.008408
424	-0.03399658	-0.01956177	-1.008316
425	-0.03416443	-0.01670837	-1.00856
426	-0.03596497	-0.0174408	-1.006638
427	-0.03599548	-0.01733398	-1.00737
428	-0.03517151	-0.01911926	-1.009277
429	-0.03382874	-0.01730347	-1.007767
430	-0.03257751	-0.01780701	-1.008743
431	-0.0329895	-0.01928711	-1.007019
432	-0.0327301	-0.01879883	-1.008011
433	-0.03179932	-0.01751709	-1.007294
434	-0.03363037	-0.01937866	-1.01123
435	-0.03575134	-0.01759338	-1.014633
436	-0.03443909	-0.01739502	-1.012711
437	-0.03509521	-0.01760864	-1.014725
438	-0.03623962	-0.01792908	-1.013138
439	-0.03569031	-0.01782227	-1.009888
440	-0.03363037	-0.01745605	-1.011368
441	-0.0328064	-0.01727295	-1.008224
442	-0.03262329	-0.0174408	-1.009537
443	-0.0345459	-0.01864624	-1.007965
444	-0.03450012	-0.01771545	-1.008194
445	-0.03262329	-0.01771545	-1.006607
446	-0.03411865	-0.01867676	-1.008362
447	-0.03440857	-0.01921082	-1.006653
448	-0.03343201	-0.01860046	-1.007553
449	-0.03292847	-0.01889038	-1.007675
450	-0.03347778	-0.0178833	-1.008575
451	-0.03288269	-0.01646423	-1.007385
452	-0.03495789	-0.01878357	-1.006042
453	-0.03417969	-0.01750183	-1.008774
454	-0.03501892	-0.01853943	-1.007523
455	-0.03651428	-0.01742554	-1.006256
456	-0.03501892	-0.01870728	-1.007095
457	-0.03327942	-0.01664734	-1.006683
458	-0.03474426	-0.0194397	-1.007202
459	-0.03408813	-0.01603699	-1.009857
460	-0.03222656	-0.01913452	-1.007874
461	-0.03401184	-0.01858521	-1.007874
462	-0.03616333	-0.01679993	-1.007523
463	-0.03570557	-0.01747131	-1.008545
464	-0.03466797	-0.01580811	-1.007065
465	-0.03370667	-0.01843262	-1.006775
466	-0.03407288	-0.01586914	-1.007233
467	-0.03338623	-0.01663208	-1.009491
468	-0.03321838	-0.01731873	-1.010696
469	-0.03373718	-0.0160675	-1.009995
470	-0.03533936	-0.01916504	-1.010651
471	-0.03501892	-0.01641846	-1.009613
472	-0.03422546	-0.01846313	-1.005508
473	-0.0348053	-0.0189209	-1.00882
474	-0.03387451	-0.01957703	-1.008026
475	-0.03434753	-0.0177002	-1.009552
476	-0.03517151	-0.01731873	-1.007462
477	-0.03523254	-0.01972961	-1.006607
478	-0.03266907	-0.01786804	-1.009415
479	-0.03497314	-0.01821899	-1.009354
480	-0.03424072	-0.01800537	-1.007812
481	-0.03408813	-0.01832581	-1.00676
482	-0.03260803	-0.01837158	-1.007187
483	-0.03265381	-0.02084351	-1.008774
484	-0.03399658	-0.0178833	-1.007828
485	-0.03422546	-0.01805115	-1.009171
486	-0.03559875	-0.01902771	-1.007538
487	-0.03459167	-0.01698303	-1.007477
488	-0.03356934	-0.01974487	-1.006897
489	-0.03549194	-0.01783752	-1.006256
490	-0.0335083	-0.01989746	-1.007233
491	-0.03593445	-0.0181427	-1.00798
492	-0.03569031	-0.01817322	-1.007935
493	-0.03330994	-0.0165863	-1.007233
494	-0.0322876	-0.0178833	-1.008591
495	-0.03488159	-0.01895142	-1.006607
496	-0.03453064	-0.01982117	-1.006622
497	-0.03277588	-0.01721191	-1.005539
498	-0.03530884	-0.01837158	-1.007828
499	-0.03520203	-0.01823425	-1.007187
500	-0.03509521	-0.01942444	-1.006287
501	-0.03259277	-0.01835632	-1.007126
502	-0.03462219	-0.02032471	-1.005615
503	-0.03599548	-0.01785278	-1.00592
504	-0.03471375	-0.01771545	-1.00827
